Pathway	Homology Score	Total genes	Mapped genes	Multi-mapped genes	No homology mapping genes	No mapping genes	No xref genes	mapped genes	multi-mapped genes	no homology mapping genes	no mapping genes	no xref genes
Autophagy (WP4923)	100.0	37	37	0	0	0	0	[a2af8 : Atg14 : En:ENSRNOG00000011873, a37e8 : Pik3r4 : En:ENSRNOG00000013669, b227b : Prkag1 : En:ENSRNOG00000070180, b83a2 : Atg5 : En:ENSRNOG00000000322, b883d : Prkaa2 : En:ENSRNOG00000007706, bc687 : Akt1s1 : En:ENSRNOG00000020289, bc89a : Pik3c3 : En:ENSRNOG00000017840, bfd00 : Becn1 : En:ENSRNOG00000020513, c3c56 : MAP1LC3B : En:ENSRNOG00000038106, c3e63 : Pik3c3 : En:ENSRNOG00000017840, c3f2b : Ambra1 : En:ENSRNOG00000017422, c5418 : Atg3 : En:ENSRNOG00000002094, c63ea : Wipi2 : En:ENSRNOG00000001114, c6c73 : Prkaa1 : En:ENSRNOG00000012799, cc253 : Ulk1 : En:ENSRNOG00000037505, cddfb : Prkag2 : En:ENSRNOG00000009085, d0117 : Atg16l1 : En:ENSRNOG00000017913, d70b2 : Mlst8 : En:ENSRNOG00000009667, d7673 : Uvrag : En:ENSRNOG00000016206, d9485 : Prkab2 : En:ENSRNOG00000018166, dccfd : Mtor : En:ENSRNOG00000009615, de83d : Atg101 : En:ENSRNOG00000007756, e277e : Prkag3 : En:ENSRNOG00000017248, e83a3 : Atg9a : En:ENSRNOG00000018975, f0d76 : Rptor : En:ENSRNOG00000003821, f2521 : Atg12 : En:ENSRNOG00000000157, f2550 : Rb1cc1 : En:ENSRNOG00000006833, f3ec1 : Deptor : En:ENSRNOG00000004328, f4b49 : Prkab1 : En:ENSRNOG00000001142, fde0c : Atg7 : En:ENSRNOG00000007486, fee48 : Atg13 : En:ENSRNOG00000016984, d4439 : Becn1 : En:ENSRNOG00000020513, b0d25 : Pik3r4 : En:ENSRNOG00000013669, f1c25 : Atg9a : En:ENSRNOG00000018975, e9eef : MAP1LC3B : En:ENSRNOG00000038106, e8f88 : MAP1LC3B : En:ENSRNOG00000038106, b9167 : Atg9a : En:ENSRNOG00000018975]	[]	[]	[]	[]
Proximal tubule transport (WP4917)	95.0	61	58	0	3	0	0	[b9f7f : Abcg3l2 : En:ENSRNOG00000064381, e9165 : Slc7a8 : En:ENSRNOG00000014311, de41e : Slc47a1 : En:ENSRNOG00000057404, f3029 : Atp6v0d2 : En:ENSRNOG00000006926, a804a : ATP6V0E1 : En:ENSRNOG00000003269, f771b : Slc22a2 : En:ENSRNOG00000016625, f6bec : Slc7a9 : En:ENSRNOG00000012344, c97bc : Slc5a2 : En:ENSRNOG00000020039, e1ffe : Atp1b1 : En:ENSRNOG00000002934, be7b8 : Ca4 : En:ENSRNOG00000002916, e599c : Slc34a1 : En:ENSRNOG00000015262, badd6 : Atp6v1d : En:ENSRNOG00000009080, ab498 : Slc1a1 : En:ENSRNOG00000014816, f2b43 : Slc5a8 : En:ENSRNOG00000006367, d3a72 : RGD1566368 : En:ENSRNOG00000006010, c968c : Slc4a4 : En:ENSRNOG00000003134, b786c : Atp6v1h : En:ENSRNOG00000030862, b2653 : Slc12a4 : En:ENSRNOG00000019651, bb9f0 : Atp6v0a4 : En:ENSRNOG00000013428, cfde1 : Atp6v1a : En:ENSRNOG00000001992, d3304 : Slc3a2 : En:ENSRNOG00000018487, a6dc2 : Cltrn : En:ENSRNOG00000003960, c3073 : ATP6V0B : En:ENSRNOG00000019655, df0da : Slc16a10 : En:ENSRNOG00000000588, defff : Slc2a1 : En:ENSRNOG00000007284, ed733 : Atp6v1g1 : En:ENSRNOG00000063197, f292d : Slc34a3 : En:ENSRNOG00000010451, f25f8 : Abcc4 : En:ENSRNOG00000010064, d870b : Atp1a1 : En:ENSRNOG00000030019, a5856 : Slc9a3 : En:ENSRNOG00000015159, ff752 : Abcb1b : En:ENSRNOG00000008012, ff7f5 : Slc5a5 : En:ENSRNOG00000018822, e8c31 : Slc7a7 : En:ENSRNOG00000010296, e61bb : Slc6a19 : En:ENSRNOG00000026501, b2b06 : ATP6V1F : En:ENSRNOG00000064609, f521e : Atp6v1b1 : En:ENSRNOG00000013573, f0c5f : Slc4a2 : En:ENSRNOG00000014347, c6146 : Slc36a2 : En:ENSRNOG00000011892, bf29b : Abcc2 : En:ENSRNOG00000046727, dfda1 : Atp6v1c1 : En:ENSRNOG00000004846, e3d3d : Slc6a18 : En:ENSRNOG00000016253, bed8e : Slc2a2 : En:ENSRNOG00000011875, c4652 : Atp6v1e1 : En:ENSRNOG00000011905, a4407 : Slc26a6 : En:ENSRNOG00000020450, bf1f9 : Slc20a2 : En:ENSRNOG00000019490, b7ff3 : Atp6v0c : En:ENSRNOG00000006542, e3164 : Slc3a1 : En:ENSRNOG00000007006, a3337 : Aqp1 : En:ENSRNOG00000011648, f87e9 : Car2 : En:ENSRNOG00000009629, b0cd0 : Aqp1 : En:ENSRNOG00000011648, e31a9 : Slc3a2 : En:ENSRNOG00000018487, b5caa : Cltrn : En:ENSRNOG00000003960, a3672 : Cltrn : En:ENSRNOG00000003960, d63f6 : Slc5a1 : En:ENSRNOG00000017775, cc623 : Slc22a7 : En:ENSRNOG00000018420, c793c : Slc22a6 : En:ENSRNOG00000018215, acb80 : Slc22a8 : En:ENSRNOG00000018086, b0dbb : Slc13a3 : En:ENSRNOG00000019118]	[]	[cbc5d : SLC47A2 : En:ENSG00000180638, aa4aa : SLC22A11 : En:ENSG00000168065, fbcc0 : FXYD2 : En:ENSG00000137731]	[]	[]
SARS coronavirus and innate immunity (WP4912)	90.0	42	38	0	0	2	2	[null : IFNA1 : En:ENSRNOG00000065583, null : IFNA2 : En:ENSRNOG00000065583, null : IFNA4 : En:ENSRNOG00000065583, null : IFNA5 : En:ENSRNOG00000065583, null : IFNA6 : En:ENSRNOG00000065583, null : IFNA7 : En:ENSRNOG00000065583, null : IFNA8 : En:ENSRNOG00000065583, null : IFNA10 : En:ENSRNOG00000065583, null : IFNA13 : En:ENSRNOG00000065583, null : IFNA14 : En:ENSRNOG00000065583, null : IFNA16 : En:ENSRNOG00000065583, null : IFNA17 : En:ENSRNOG00000065583, null : IFNA21 : En:ENSRNOG00000065583, null : Jak1 : En:ENSRNOG00000011157, null : Stat4 : En:ENSRNOG00000014079, null : Stat2 : En:ENSRNOG00000031081, null : Tbk1 : En:ENSRNOG00000005528, null : Ikbke : En:ENSRNOG00000025100, null : Tlr3 : En:ENSRNOG00000021726, a6761 : Ifnb1 : En:ENSRNOG00000006268, b6475 : Ifnar1 : En:ENSRNOG00000028594, b9059 : Tyk2 : En:ENSRNOG00000032948, c2d8e : Ace2 : En:ENSRNOG00000031665, cffa4 : Irf9 : En:ENSRNOG00000019478, d8e8b : Traf3 : En:ENSRNOG00000008145, e1fcd : Ifih1 : En:ENSRNOG00000006227, f0053 : Irf3 : En:ENSRNOG00000043388, f0e60 : Mavs : En:ENSRNOG00000025295, f1728 : Ifnar2 : En:ENSRNOG00000045668, f1eea : Ddx58 : En:ENSRNOG00000006384, f9104 : AABR07066529.1 : En:ENSRNOG00000048462, c9166 : Irf3 : En:ENSRNOG00000043388, ed803 : Irf3 : En:ENSRNOG00000043388, eef85 : Irf3 : En:ENSRNOG00000043388, a136c : Ace2 : En:ENSRNOG00000031665, b6b10 : Stat4 : En:ENSRNOG00000014079, f360c : Stat2 : En:ENSRNOG00000031081, null : Irf9 : En:ENSRNOG00000019478]	[]	[]	[c8d7f : S : S:694009, db168 : S : S:694009]	[a74fc : ISRE  Response element : :, c7d27 : IFN-beta Response element : :]
AMP-activated protein kinase (AMPK) signaling (WP1403)	94.0	70	66	0	4	0	0	[e6826 : Tp53 : En:ENSRNOG00000010756, aeb8f : Hmgcr : En:ENSRNOG00000016122, d2388 : Adra1b : En:ENSRNOG00000060087, d8c91 : Elavl1 : En:ENSRNOG00000001069, d59b6 : Ccna2 : En:ENSRNOG00000015423, b81f0 : Ccna1 : En:ENSRNOG00000014052, a69b5 : Cdkn1a : En:ENSRNOG00000000521, ad2fb : Ccnb1 : En:ENSRNOG00000058539, f8e07 : Adra1a : En:ENSRNOG00000009522, ecfc5 : Akt2 : En:ENSRNOG00000018677, a7e9c : Pik3r3 : En:ENSRNOG00000000145, ea3b7 : Camkk2 : En:ENSRNOG00000001309, a540e : Adipor2 : En:ENSRNOG00000007990, b55ba : Rps6kb1 : En:ENSRNOG00000003919, f3d7e : Eif4ebp1 : En:ENSRNOG00000012582, b2601 : Prkag3 : En:ENSRNOG00000017248, e0be4 : Gys1 : En:ENSRNOG00000020812, a1813 : Tsc2 : En:ENSRNOG00000011375, fc96a : Prkaa1 : En:ENSRNOG00000012799, f18a0 : Akt1 : En:ENSRNOG00000028629, f7076 : Acaca : En:ENSRNOG00000034013, a84ee : Lep : En:ENSRNOG00000045797, ed3d9 : Srebf1 : En:ENSRNOG00000003463, e8c22 : Insr : En:ENSRNOG00000029986, f156e : Pik3c3 : En:ENSRNOG00000017840, f9b8b : Prkag2 : En:ENSRNOG00000009085, ccd62 : Mtor : En:ENSRNOG00000009615, d861a : Prkag1 : En:ENSRNOG00000070180, e0cdd : Pik3r1 : En:ENSRNOG00000018903, dc883 : Strada : En:ENSRNOG00000008637, c1fb4 : Prkab2 : En:ENSRNOG00000018166, a693d : Tsc1 : En:ENSRNOG00000011470, a4ceb : Pik3cb : En:ENSRNOG00000016384, c4b5f : Pik3ca : En:ENSRNOG00000056371, bdafd : Stradb : En:ENSRNOG00000010728, a5b4f : Adipor1 : En:ENSRNOG00000004143, cf075 : Ppargc1b : En:ENSRNOG00000017503, c4a53 : Lipe : En:ENSRNOG00000020546, c2053 : Prkab1 : En:ENSRNOG00000001142, a8928 : Plcb1 : En:ENSRNOG00000004810, f65ec : Eef2k : En:ENSRNOG00000016448, fa72c : Cpt1b : En:ENSRNOG00000010438, b9666 : Slc2a4 : En:ENSRNOG00000017226, c9726 : Fasn : En:ENSRNOG00000045636, a7b24 : Rps6kb2 : En:ENSRNOG00000021689, bef83 : Cpt1a : En:ENSRNOG00000014254, b35fe : Crtc2 : En:ENSRNOG00000056337, df1d0 : Hnf4a : En:ENSRNOG00000008895, c0e25 : Lepr : En:ENSRNOG00000023664, f20c6 : Pfkfb3 : En:ENSRNOG00000018911, de00d : Pik3cg : En:ENSRNOG00000009385, f3db1 : Gys2 : En:ENSRNOG00000059753, dc23b : Camkk1 : En:ENSRNOG00000018242, a6311 : Stk11 : En:ENSRNOG00000014287, ce7cc : Eef2 : En:ENSRNOG00000020266, aaef2 : Cab39 : En:ENSRNOG00000017297, bacc5 : Cpt1c : En:ENSRNOG00000026163, bd9ff : Prkacb : En:ENSRNOG00000004978, e393d : Pik3cd : En:ENSRNOG00000016846, c1529 : Prkaa2 : En:ENSRNOG00000007706, af2e8 : Rptor : En:ENSRNOG00000003821, df482 : Pik3r2 : En:ENSRNOG00000019228, cb05d : Adipoq : En:ENSRNOG00000001821, dda3d : Acacb : En:ENSRNOG00000000658, fc69e : Slc2a4 : En:ENSRNOG00000017226, bc0fe : Slc2a4 : En:ENSRNOG00000017226]	[]	[d4f89 : Insulin : En:ENSG00000129965, dcd84 : MEF2B : En:ENSG00000064489, bfa18 : GEF : En:ENSG00000125520, e05b7 : PRKACG : L:5568]	[]	[]
LDLRAD4 and what we know about it (WP4904)	84.0	13	11	0	1	1	0	[b351b : Pmepa1 : En:ENSRNOG00000050404, c276a : Nedd4 : En:ENSRNOG00000058898, e9bfd : Ldlrad4 : En:ENSRNOG00000016879, ee0af : Smad2 : En:ENSRNOG00000018140, f314c : Atg16l1 : En:ENSRNOG00000017913, f673b : Tgfbr2 : En:ENSRNOG00000013265, ca96b : Ldlrad4 : En:ENSRNOG00000016879, caffc : Smad2 : En:ENSRNOG00000018140, ea248 : Tgfbr1 : En:ENSRNOG00000007036, d98b8 : Ldlrad4 : En:ENSRNOG00000016879, c628c : Nedd4 : En:ENSRNOG00000058898]	[]	[c9042 : LDLRAD4-AS1 : En:ENSG00000267690]	[f25b2 : hsa-miR-20a-5p : Mbm:MIMAT0000075]	[]
Purinergic signaling (WP4900)	85.0	35	30	0	3	0	2	[a787f : P2ry1 : En:ENSRNOG00000014232, a7d53 : Adora3 : En:ENSRNOG00000015788, a8c18 : Adora1 : En:ENSRNOG00000003442, a90c7 : P2ry14 : En:ENSRNOG00000013872, adea9 : Gnat3 : En:ENSRNOG00000005268, aeaa8 : P2rx6 : En:ENSRNOG00000001873, af97a : P2rx5 : En:ENSRNOG00000019208, afc3e : Gnai3 : En:ENSRNOG00000019465, b0585 : P2ry13 : En:ENSRNOG00000029756, b7cd1 : P2ry4 : En:ENSRNOG00000070777, b9ec9 : P2rx4 : En:ENSRNOG00000001300, bf329 : Lpar4 : En:ENSRNOG00000002428, c3047 : P2ry10 : En:ENSRNOG00000037839, c6e54 : Gnai1 : En:ENSRNOG00000057096, c9ae1 : P2ry12 : En:ENSRNOG00000013902, d0530 : Gnat1 : En:ENSRNOG00000017589, d35b0 : P2rx2 : En:ENSRNOG00000037456, d3f58 : P2ry2 : En:ENSRNOG00000019283, d41cd : Adora2b : En:ENSRNOG00000002922, d4505 : Panx1 : En:ENSRNOG00000010060, d6008 : Gnaz : En:ENSRNOG00000001313, d6801 : P2rx7 : En:ENSRNOG00000001296, db10b : Gnat2 : En:ENSRNOG00000019296, ddbb9 : P2rx1 : En:ENSRNOG00000017606, e7840 : Adora2a : En:ENSRNOG00000001302, f1fce : P2ry6 : En:ENSRNOG00000019270, f303a : Lpar6 : En:ENSRNOG00000015577, f3391 : P2rx3 : En:ENSRNOG00000008552, a2581 : Gnas : En:ENSRNOG00000047374, abeb5 : Gnai2 : En:ENSRNOG00000016592]	[]	[aa68f : P2RY8 : En:ENSG00000182162, c3324 : GNAO1 : En:ENSG00000087258, f01bc : P2RY11 : En:ENSG00000244165]	[]	[e2f01 : Gq/11 : :, fa29f : Gi : :]
Cholesterol biosynthesis pathway (WP197)	87.0	16	14	0	2	0	0	[a12 : Nsdhl : En:ENSRNOG00000057814, b21 : Hmgcs1 : En:ENSRNOG00000016552, b31 : Msmo1 : En:ENSRNOG00000032297, b6d : Sqle : En:ENSRNOG00000009550, c3b : Idi1 : En:ENSRNOG00000016690, c55 : Mvd : En:ENSRNOG00000013376, d4d : CYP51A1 : En:ENSRNOG00000065555, d8b : Hmgcr : En:ENSRNOG00000016122, db2 : Dhcr7 : En:ENSRNOG00000020776, e5c : Pmvk : En:ENSRNOG00000020696, f2b : Sc5d : En:ENSRNOG00000065944, f32 : Fdft1 : En:ENSRNOG00000021314, f92 : Lss : En:ENSRNOG00000054549, fa9 : Mvk : En:ENSRNOG00000049604]	[]	[aa8 : FDPS : L:2224, c9326 : FDPS : L:2224]	[]	[]
IL-1 signaling pathway (WP195)	95.0	70	67	0	3	0	0	[a1150 : Map3k2 : En:ENSRNOG00000014089, a367b : Rel : En:ENSRNOG00000054437, a5a3a : Hspb2 : En:ENSRNOG00000051792, a6d59 : MAPK3 : En:ENSRNOG00000067941, a6dbb : Ikbkb : En:ENSRNOG00000019073, a6fa8 : Prkcz : En:ENSRNOG00000015480, ab8b2 : Tab2 : En:ENSRNOG00000016054, aba92 : Map3k14 : En:ENSRNOG00000003278, ac6ca : Map2k2 : En:ENSRNOG00000020005, ac9e3 : Pik3r2 : En:ENSRNOG00000019228, ae19d : Traf6 : En:ENSRNOG00000004639, ae4a7 : Myd88 : En:ENSRNOG00000013634, af4c2 : Tollip : En:ENSRNOG00000019861, b217a : Tollip : En:ENSRNOG00000019861, b54e0 : Ecsit : En:ENSRNOG00000014128, ba9f6 : Sqstm1 : En:ENSRNOG00000003147, bd5b2 : Chuk : En:ENSRNOG00000022485, bd5ca : Nfkbib : En:ENSRNOG00000020063, bec0c : Rela : En:ENSRNOG00000030888, bedd5 : Mapk14 : En:ENSRNOG00000000513, c19bf : Nfkb1 : En:ENSRNOG00000023258, c2de7 : Akt1 : En:ENSRNOG00000028629, c33b5 : Nfkb1 : En:ENSRNOG00000023258, c3469 : Traf6 : En:ENSRNOG00000004639, c6a8b : Pik3r1 : En:ENSRNOG00000018903, ca274 : Map2k3 : En:ENSRNOG00000065992, cf4ad : Traf6 : En:ENSRNOG00000004639, cfddc : PELI1 : En:ENSRNOG00000065015, cfe0e : Ikbkg : En:ENSRNOG00000060936, cfff0 : Myd88 : En:ENSRNOG00000013634, d2e9d : Ptpn11 : En:ENSRNOG00000030124, d712e : Mapkapk2 : En:ENSRNOG00000004726, d7f2f : Mapk1 : En:ENSRNOG00000001849, d8b28 : Rela : En:ENSRNOG00000030888, d8e8d : Map2k1 : En:ENSRNOG00000010176, d91d6 : Plcg1 : En:ENSRNOG00000051490, d9207 : Traf6 : En:ENSRNOG00000004639, d9512 : Il1a : En:ENSRNOG00000004575, db920 : Tab3 : En:ENSRNOG00000003643, dbc27 : Map2k6 : En:ENSRNOG00000004437, ddb0f : UBE2V1 : En:ENSRNOG00000067007, e2af7 : Il1rap : En:ENSRNOG00000001928, e424b : Il1b : En:ENSRNOG00000004649, e5522 : Rel : En:ENSRNOG00000054437, e73b2 : Mapk8 : En:ENSRNOG00000020155, eac9c : Il1r1 : En:ENSRNOG00000014504, eaf32 : Mapk9 : En:ENSRNOG00000002823, ed04f : Il1rap : En:ENSRNOG00000001928, ed51c : Peli2 : En:ENSRNOG00000012363, eea63 : Map3k1 : En:ENSRNOG00000013177, eeb2d : Map2k7 : En:ENSRNOG00000001047, ef92b : Map3k3 : En:ENSRNOG00000061424, efd2d : Tab1 : En:ENSRNOG00000017285, f54dd : Map2k4 : En:ENSRNOG00000003834, f77df : Traf6 : En:ENSRNOG00000004639, f7e24 : Ikbkg : En:ENSRNOG00000060936, f839a : Il1r1 : En:ENSRNOG00000014504, bf0bd : Irak4 : En:ENSRNOG00000005965, c1c4f : Irak1 : En:ENSRNOG00000060869, b6f6f : Irak3 : En:ENSRNOG00000004226, fe64e : Irak2 : En:ENSRNOG00000021817, c5660 : Map3k7 : En:ENSRNOG00000005724, a9163 : Mapk14 : En:ENSRNOG00000000513, d07b4 : Jun : En:ENSRNOG00000026293, f06cc : Atf2 : En:ENSRNOG00000001597, f7ad4 : Mapk9 : En:ENSRNOG00000002823, ec1ff : Mapk8 : En:ENSRNOG00000020155]	[]	[a06a4 : UBE2N : L:7334, bfec9 : CCL2 : L:6347, c1945 : NFKBIA : L:4792]	[]	[]
Homologous recombination (WP186)	96.0	26	25	0	1	0	0	[b334b : Rad51 : En:ENSRNOG00000037302, db2f7 : Rad51 : En:ENSRNOG00000037302, c00a0 : Brca2 : En:ENSRNOG00000001111, aad86 : Brca2 : En:ENSRNOG00000001111, dff5e : Brca2 : En:ENSRNOG00000001111, b6f0a : Rpa1 : En:ENSRNOG00000003123, aeab8 : Rpa1 : En:ENSRNOG00000003123, be0dc : Rpa1 : En:ENSRNOG00000003123, d2972 : Nbn : En:ENSRNOG00000008580, f0a38 : Rad52 : En:ENSRNOG00000009742, fefd2 : Rad52 : En:ENSRNOG00000009742, e9eb3 : Pold4 : En:ENSRNOG00000018765, d603f : Rad51 : En:ENSRNOG00000037302, daa6e : Atm : En:ENSRNOG00000029773, e4ce1 : Rad54b : En:ENSRNOG00000039949, f0e91 : Mre11 : En:ENSRNOG00000009506, f3372 : Rad51 : En:ENSRNOG00000037302, e02bf : Brca2 : En:ENSRNOG00000001111, cae80 : Pold1 : En:ENSRNOG00000019681, d2b16 : Rpa1 : En:ENSRNOG00000003123, a0cc1 : Pold2 : En:ENSRNOG00000014098, ffffb : Rad52 : En:ENSRNOG00000009742, d3cd9 : Rad50 : En:ENSRNOG00000033065, f939e : Atm : En:ENSRNOG00000029773, f7f70 : Rad54b : En:ENSRNOG00000039949]	[]	[fb8b0 : POLD3 : En:ENSG00000077514]	[]	[]
Integrin-mediated cell adhesion (WP185)	95.0	107	102	0	1	0	4	[a0e : Itga4 : En:ENSRNOG00000004861, a13 : Capn9 : En:ENSRNOG00000018480, a25 : Ilk : En:ENSRNOG00000018993, a2d : Ptk2 : En:ENSRNOG00000007916, a3c : Itgb3 : En:ENSRNOG00000048449, a48 : Itgae : En:ENSRNOG00000046639, a4d : Sos1 : En:ENSRNOG00000007106, a66 : Zyx : En:ENSRNOG00000017354, a71 : RAP1A : En:ENSRNOG00000066207, a75 : Itgam : En:ENSRNOG00000019728, a80 : Crk : En:ENSRNOG00000025792, a85 : Itga7 : En:ENSRNOG00000007905, aa21f : Mir34c : En:ENSRNOG00000035478, aaa : Itgb7 : En:ENSRNOG00000012208, ab0 : Mypn : En:ENSRNOG00000000383, ac4 : Capn5 : En:ENSRNOG00000014251, acd : Itgad : En:ENSRNOG00000068399, ae2 : Selenop : En:ENSRNOG00000053086, ae6 : Rock1 : En:ENSRNOG00000031092, b01 : Itgav : En:ENSRNOG00000004912, b06 : Itga3 : En:ENSRNOG00000004276, b0b : Vcl : En:ENSRNOG00000010765, b19 : Rapgef1 : En:ENSRNOG00000014316, b20 : Itga2b : En:ENSRNOG00000022071, b75 : Capn6 : En:ENSRNOG00000004882, bbf : Rac2 : En:ENSRNOG00000007350, bda : Pxn : En:ENSRNOG00000001149, c2b : Pak6 : En:ENSRNOG00000007925, c2f : Map2k1 : En:ENSRNOG00000010176, c36 : Bcar1 : En:ENSRNOG00000019253, c57 : Itgb4 : En:ENSRNOG00000005580, ca1 : Itgb8 : En:ENSRNOG00000006569, cad : Pdpk1 : En:ENSRNOG00000006136, cb5 : Capn3 : En:ENSRNOG00000008609, cc0 : Src : En:ENSRNOG00000009495, cd2 : Vav3 : En:ENSRNOG00000020485, cde : Braf : En:ENSRNOG00000010957, cf0 : Cav2 : En:ENSRNOG00000057713, d01 : Itgal : En:ENSRNOG00000017980, d05 : Araf : En:ENSRNOG00000010838, d07 : Capn11 : En:ENSRNOG00000026025, d15 : Capn10 : En:ENSRNOG00000045623, d16 : Itgax : En:ENSRNOG00000036703, d1b : Itga1 : En:ENSRNOG00000053550, d21 : Fyn : En:ENSRNOG00000000596, d24 : Mapk10 : En:ENSRNOG00000002079, d4e : Csk : En:ENSRNOG00000019374, d4f : Cav3 : En:ENSRNOG00000005798, d5d : Rho : En:ENSRNOG00000011144, d66 : AABR07039356.1 : En:ENSRNOG00000018301, d6b : Mapk7 : En:ENSRNOG00000047907, d79 : Cav1 : En:ENSRNOG00000056836, d80 : Itgb6 : En:ENSRNOG00000008346, d81 : Mapk6 : En:ENSRNOG00000009381, d86 : Shc1 : En:ENSRNOG00000020657, d8c : Itgb1 : En:ENSRNOG00000010966, d8d : Capn2 : En:ENSRNOG00000034015, d90 : Akt3 : En:ENSRNOG00000021497, d9b : Map2k2 : En:ENSRNOG00000020005, da5 : Pik3r2 : En:ENSRNOG00000019228, dab : Itga9 : En:ENSRNOG00000043167, dc1 : Tns1 : En:ENSRNOG00000014182, dc7 : Capn7 : En:ENSRNOG00000019273, dc8 : Itga5 : En:ENSRNOG00000057451, dcb : Itga10 : En:ENSRNOG00000021217, dd7 : Raf1 : En:ENSRNOG00000010153, de7 : Vav2 : En:ENSRNOG00000007422, e0a : Cdc42 : En:ENSRNOG00000013536, e0d : Map2k5 : En:ENSRNOG00000007926, e13 : Capns1 : En:ENSRNOG00000067065, e20 : Itgb2 : En:ENSRNOG00000001224, e2e : Pak2 : En:ENSRNOG00000001747, e47 : Map2k3 : En:ENSRNOG00000065992, e4d : Mapk1 : En:ENSRNOG00000001849, e65 : Sorbs1 : En:ENSRNOG00000015658, e6b : RAP1B : En:ENSRNOG00000063623, e72 : Src : En:ENSRNOG00000009495, ea6 : Map2k6 : En:ENSRNOG00000004437, eac : Pak3 : En:ENSRNOG00000004676, ece : Itga2 : En:ENSRNOG00000058111, ecf : Akt2 : En:ENSRNOG00000018677, ed3 : Capn1 : En:ENSRNOG00000020935, ed7 : Rac1 : En:ENSRNOG00000001068, ede : Rock2 : En:ENSRNOG00000004496, edf : Git2 : En:ENSRNOG00000001190, ef9 : Vasp : En:ENSRNOG00000016367, f24 : Itga6 : En:ENSRNOG00000001518, f3c : Pak1 : En:ENSRNOG00000029784, f4a : Akt1 : En:ENSRNOG00000028629, f57 : Grb2 : En:ENSRNOG00000003990, f5c : Itgb5 : En:ENSRNOG00000001795, f6e : Itga8 : En:ENSRNOG00000016538, f82 : Itga11 : En:ENSRNOG00000006723, f96 : Arhgef7 : En:ENSRNOG00000012934, fa2 : Mylk2 : En:ENSRNOG00000008235, fb9 : Pak4 : En:ENSRNOG00000019883, fc1 : Mapk4 : En:ENSRNOG00000015401, fca : Mapk12 : En:ENSRNOG00000031233, fcc : Rac3 : En:ENSRNOG00000069600, fe5 : Tln1 : En:ENSRNOG00000016630, ff0 : Shc3 : En:ENSRNOG00000014366, ff6 : Ptk2 : En:ENSRNOG00000007916]	[]	[cd0 : DOCK1 : L:1793]	[]	[a16 : ACTN : :, e6a : PI5K : :, ee2 : MYO : :, f05 : p110 : :]
